0.0, 3301705.6513515436, 20656.7290, 240
0.0, 3627509.4181112424, 43.4458, 226
0.0, 3678601.6917328215, 35253.7580, 212
0.0, 3167423.9604289206, 21537.1740, 228
0.0, 3123014.9380923286, 29874.0740, 224
0.0, 3996742.277607637, 29.4207, 232
0.0, 3485455.2596660135, 16255.6570, 228
0.0, 3261048.5999530125, 24684.3290, 248
0.0, 3592306.1116911643, 31370.6640, 224
0.0, 3537278.557086563, 36455.6130, 224
100.0, 3509669.5008738455, 34750.4750, 308
100.0, 3637479.269229902, 47182.8210, 292
100.0, 3554027.7975797956, 37990.4140, 266
100.0, 2914477.252629035, 31152.5020, 286
100.0, 3220479.535584614, 38673.3580, 278
100.0, 3799582.801454055, 32558.5200, 298
100.0, 3343920.4702486056, 29079.5870, 290
100.0, 3285230.251186651, 39746.4260, 314
100.0, 3542017.0874558105, 38000.0510, 286
100.0, 3489156.2924632905, 38203.1650, 264
200.0, 3280033.9408720606, 33925.8930, 326
200.0, 3626127.19331619, 55253.8750, 294
200.0, 3631068.92051994, 43731.5560, 264
200.0, 3147072.717535005, 24951.6330, 314
200.0, 3074278.721140438, 38358.4030, 310
200.0, 3874755.6297162664, 34225.3190, 328
200.0, 3437625.0168277347, 29471.0060, 326
200.0, 3318362.35422875, 39084.4570, 322
200.0, 3564797.691784815, 37037.7670, 254
200.0, 3570742.293366418, 39594.9990, 274
300.0, 3445479.147681495, 29819.0080, 310
300.0, 3512616.9219136224, 56329.3020, 288
300.0, 3467368.1424927576, 36626.9290, 276
300.0, 3199216.2941484833, 37241.1190, 308
300.0, 3084856.671012769, 37844.1360, 300
300.0, 3651471.369996314, 33050.9000, 302
300.0, 3396596.896407014, 35758.5150, 316
300.0, 3270093.922967737, 37152.9610, 322
300.0, 3577535.1995114083, 36995.1910, 302
300.0, 3541243.451955523, 40805.1740, 300
400.0, 3527243.4604440005, 40253.3210, 328
400.0, 3566699.6444307957, 43756.4020, 300
400.0, 3664925.9799421476, 42291.2430, 276
400.0, 3105038.222394433, 27788.3600, 304
400.0, 2969731.45102565, 44320.8080, 298
400.0, 3714514.6680557197, 32016.1910, 300
400.0, 3480680.710654537, 31983.6850, 328
400.0, 2978715.321356833, 46465.2960, 350
400.0, 3410469.7676719367, 33985.9810, 302
400.0, 3519070.9988122047, 31940.8010, 286
500.0, 3578189.95600076, 40515.9360, 316
500.0, 3631880.453996836, 51768.2410, 298
500.0, 3538308.8068407117, 43159.5960, 268
500.0, 3208048.540414534, 33374.2590, 302
500.0, 2969163.9002484633, 43490.6870, 308
500.0, 3885301.8802764607, 33512.6570, 328
500.0, 3416779.0708258087, 39079.9130, 318
500.0, 3143125.8337245383, 40884.1220, 326
500.0, 3468633.4382770215, 38027.7210, 288
500.0, 3495161.1073732977, 44456.9260, 288
600.0, 3687477.388115071, 43474.0130, 332
600.0, 3764067.642650474, 46958.5570, 308
600.0, 3548817.5422384073, 43473.8670, 272
600.0, 3021490.1807862897, 32228.9910, 308
600.0, 3036257.2080274443, 35858.4550, 286
600.0, 3542230.1880604047, 33118.0400, 324
600.0, 3461160.8345867633, 36649.2160, 328
600.0, 3235831.060388676, 39501.8420, 330
600.0, 3571134.3223547796, 39554.9340, 286
600.0, 3555228.414985814, 35267.8090, 290
700.0, 3547381.959772187, 36241.9830, 320
700.0, 3486093.085231073, 54011.0470, 296
700.0, 3426418.029599049, 43191.4600, 288
700.0, 3219005.4951599427, 29896.0630, 300
700.0, 2907130.3117239107, 35490.5070, 304
700.0, 3736537.8760153987, 36088.7010, 318
700.0, 3527889.150522403, 30481.8140, 322
700.0, 3280274.355470002, 37555.0310, 342
700.0, 3681572.3858691948, 39462.6330, 278
700.0, 3488474.8095295504, 33270.0510, 312
800.0, 3553653.458943465, 45606.6810, 318
800.0, 3551948.4362988207, 53610.8650, 308
800.0, 3504738.562148735, 45642.1920, 266
800.0, 3121396.9173627975, 31935.4120, 300
800.0, 2995341.325762696, 40191.3570, 326
800.0, 3860663.4405275593, 32750.1070, 326
800.0, 3347448.811704418, 36547.6320, 342
800.0, 3242366.3779475717, 41799.1250, 314
800.0, 3410503.2976663196, 37728.9970, 286
800.0, 3555835.070398751, 43124.1320, 278
900.0, 3444913.4441766944, 37215.3060, 318
900.0, 3463478.8481474104, 59828.5290, 326
900.0, 3472290.9826622508, 41446.3660, 268
900.0, 3092786.7955655246, 30920.3140, 290
900.0, 2987344.332343693, 36709.8170, 316
900.0, 3477377.313096372, 41650.6380, 334
900.0, 3497243.0520406594, 35913.0760, 352
900.0, 3296677.245546162, 46436.5820, 304
900.0, 3472092.3483159747, 41163.5660, 292
900.0, 3395959.951223025, 37550.7870, 296
1000.0, 3668760.629130843, 38483.6810, 316
1000.0, 3552066.734148637, 53080.0020, 302
1000.0, 3521858.321129048, 42823.1440, 278
1000.0, 3046373.3944604346, 33567.1540, 294
1000.0, 3123770.5938795945, 40467.0600, 318
1000.0, 3689850.303379501, 34102.5530, 328
1000.0, 3470621.5160744637, 31957.6770, 322
1000.0, 3403385.0949762156, 39281.0820, 334
1000.0, 3621025.116433056, 43598.9520, 304
1000.0, 3514375.0379784293, 39492.1010, 288
